name,rating,user_ratings_total,price_level,lat,lng
Zaytun Restaurant,3.9,975,2.0,23.778819,90.38020809999999
bbq Bangladesh,4.2,1762,2.0,23.7498091,90.3686446
Santoor Restaurant,4.1,1643,2.0,23.7517218,90.377679
Biye Bari Restaurant,3.8,1637,2.0,23.7497393,90.3686747
Garlic 'n Ginger,4.3,1912,3.0,23.7462631,90.37158360000001
Bar B Q Tonite,4.3,2786,2.0,23.753617,90.370728
Xindian Restaurant,4.0,3610,2.0,23.7518866,90.36848119999999
Family Kitchen,5.0,11,,23.7549026,90.41293399999999
Khana's Mohammadpur - খানাস মোহাম্মদপুর,4.3,1483,,23.7622672,90.36123169999999
Cookers7 Restaurant,4.3,176,2.0,23.7509142,90.3955198
Star Kebab & Restaurant,4.2,17010,2.0,23.7932198,90.4028846
BAO,4.2,901,2.0,23.7818743,90.4157615
A La Greek - Mediterranean Cuisine,4.3,186,,23.7389633,90.3787899
Star Hotel & Kabab,4.1,21311,2.0,23.7393506,90.3811526
Izakaya,4.5,1116,3.0,23.7475403,90.3699268
Tarka,4.0,1788,2.0,23.7903658,90.4066313
Bukhara Restaurant,4.2,712,,23.7935901,90.4056861
Dhaka Food,4.4,35,,23.7740277,90.39676039999999
HEXA Dine - Restaurant & Café,4.3,336,,23.7919289,90.4062166
Aharika Restaurant,4.0,731,2.0,23.7709045,90.4046283
